Rules_ID	Struts Jars
IC_STJR_361	struts2-jasperreports-plugin-2.3.28.1.jar
IC_STJR_362	struts2-jfreechart-plugin-2.3.28.1.jar
IC_STJR_363	struts2-jsf-plugin-2.3.28.1.jar
IC_STJR_364	struts2-junit-plugin-2.3.28.1.jar
IC_STJR_365	struts2-pell-multipart-plugin-2.3.28.1.jar
IC_STJR_366	struts2-plexus-plugin-2.3.28.1.jar
IC_STJR_367	struts2-portlet-plugin-2.3.28.1.jar
IC_STJR_368	struts2-rest-plugin-2.3.28.1.jar
IC_STJR_369	struts2-sitegraph-plugin-2.3.28.1.jar
IC_STJR_370	struts2-sitemesh-plugin-2.3.28.1.jar
IC_STJR_371	struts2-spring-plugin-2.3.28.1.jar
IC_STJR_372	struts2-struts1-plugin-2.3.28.1.jar
IC_STJR_373	struts2-testng-plugin-2.3.28.1.jar
IC_STJR_374	struts2-tiles-plugin-2.3.28.1.jar
IC_STJR_375	struts2-tiles3-plugin-2.3.28.1.jar
IC_STJR_376	struts2-oval-plugin-2.3.28.1.jar
IC_STJR_377	struts2-json-plugin-2.3.28.1.jar
IC_STJR_378	struts2-embeddedjsp-plugin-2.3.28.1.jar
IC_STJR_379	struts2-gxp-plugin-2.3.28.1.jar
IC_STJR_380	struts2-osgi-plugin-2.3.28.1.jar
IC_STJR_381	struts2-osgi-admin-bundle-2.3.28.1.jar
IC_STJR_382	struts2-osgi-demo-bundle-2.3.28.1.jar
IC_STJR_383	xwork-core-2.3.29.jar
IC_STJR_384	ognl-3.0.17.jar
IC_STJR_385	struts2-core-2.3.29.jar
IC_STJR_386	struts2-cdi-plugin-2.3.29.jar
IC_STJR_387	struts2-codebehind-plugin-2.3.29.jar
IC_STJR_388	struts2-convention-plugin-2.3.29.jar
IC_STJR_389	struts2-javatemplates-plugin-2.3.29.jar
IC_STJR_390	struts2-config-browser-plugin-2.3.29.jar
IC_STJR_391	struts2-dojo-plugin-2.3.29.jar
IC_STJR_392	struts2-dwr-plugin-2.3.29.jar
IC_STJR_393	struts2-jasperreports-plugin-2.3.29.jar
IC_STJR_394	struts2-jfreechart-plugin-2.3.29.jar
IC_STJR_395	struts2-jsf-plugin-2.3.29.jar
IC_STJR_396	struts2-junit-plugin-2.3.29.jar
IC_STJR_397	struts2-pell-multipart-plugin-2.3.29.jar
IC_STJR_398	struts2-plexus-plugin-2.3.29.jar
IC_STJR_399	struts2-portlet-plugin-2.3.29.jar
IC_STJR_400	struts2-rest-plugin-2.3.29.jar
IC_STJR_401	commons-collections-3.2.2.jar
IC_STJR_402	struts2-sitegraph-plugin-2.3.29.jar
IC_STJR_403	struts2-sitemesh-plugin-2.3.29.jar
IC_STJR_404	struts2-spring-plugin-2.3.29.jar
IC_STJR_405	struts2-struts1-plugin-2.3.29.jar
IC_STJR_406	struts2-testng-plugin-2.3.29.jar
IC_STJR_407	struts2-tiles-plugin-2.3.29.jar
IC_STJR_408	struts2-tiles3-plugin-2.3.29.jar
IC_STJR_409	struts2-oval-plugin-2.3.29.jar
IC_STJR_410	struts2-json-plugin-2.3.29.jar
IC_STJR_411	struts2-embeddedjsp-plugin-2.3.29.jar
IC_STJR_412	struts2-gxp-plugin-2.3.29.jar
IC_STJR_413	struts2-osgi-plugin-2.3.29.jar
IC_STJR_414	struts2-osgi-admin-bundle-2.3.29.jar
